Dataset: Northern Bering Sea ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Acantholumpenus mackayi,Pighead prickleback,63.76373591284503,63.876367367561436,0.11263145471640712,0.17663873219467027,-16.991794333333335,-18.521417666666668,-1.5296233333333333,9.00212951808523
Aspidophoroides olrikii,Arctic alligatorfish,64.54214322384921,64.56505109706335,0.022907873214137453,0.035492892039061814,-43.40314033333334,-43.69817,-0.2950296666666574,0.6797426739190954
Asterias amurensis,North pacific seastar,63.11062459073381,63.016217726850506,-0.09440686388330732,-0.1495894938380448,-25.255216333333333,-25.898024666666668,-0.6428083333333348,2.545249760877788
Bathyraja spp.,Skate complex,62.16556421613635,62.166276532717085,0.0007123165807314535,0.001145837876183157,-36.090120000000006,-39.013179,-2.923058999999995,8.099333003049018
Boltenia ovifera,Stalked sea squirt,64.01117724905897,63.8946597592832,-0.1165174897757737,-0.18202678779429354,-41.859716999999996,-38.10929599999999,3.750421000000003,-8.959499176738351
Boreogadus saida,Arctic cod,62.79820454767435,63.324332172987134,0.5261276253127818,0.8378067957553831,-54.97197,-50.85392466666667,4.118045333333328,-7.491172925644338
Buccinum angulosum,Angular whelk,62.722918597596795,62.513388848265144,-0.2095297493316508,-0.3340561217756835,-42.605267999999995,-39.45024133333333,3.1550266666666644,-7.4052501363602845
Buccinum polare,Polar whelk,62.69199092240303,62.729353665970535,0.03736274356750613,0.05959731541107354,-46.968989,-47.119255,-0.150266000000002,0.31992598350371565
Buccinum scalariforme,Ladder whelk,62.82632842893903,62.42194350687222,-0.40438492206681076,-0.643655187528901,-48.354636,-44.67626066666667,3.678375333333328,-7.607078943440558
Chionoecetes opilio,Snow crab,62.34274213383761,62.722628930482635,0.37988679664502456,0.6093520811604377,-52.34439833333334,-50.86352333333334,1.4808749999999975,-2.8290992869373843
Chrysaora melanaster,,62.51914747913276,62.69840931239994,0.17926183326717648,0.2867310903863642,-43.41621733333333,-44.02667399999999,-0.6104566666666642,1.4060567782306053
