Dataset: West Coast Triennial,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Alosa sapidissima,American shad,42.08850362276555,46.817030971586725,4.728527348821174,11.234724311423435,-129.90269666666669,-143.15589666666668,-13.253199999999993,10.202405600561173
Anoplopoma fimbria,Sablefish,44.76805300922715,45.75101488736404,0.9829618781368907,2.1956770778802737,-237.14142,-220.19185333333334,16.94956666666667,-7.1474509457970985
Atheresthes stomias,Arrowtooth flounder,47.46815897436243,47.74441138749962,0.2762524131371862,0.5819741466830222,-221.7873066666667,-234.40696333333332,-12.619656666666629,5.689981476547362
Bathyraja spp.,Skate complex,44.84234076238303,45.23319791916092,0.3908571567778907,0.8716252321639947,-291.39474666666666,-255.53915333333336,35.8555933333333,-12.304818032409267
Beringraja binoculata,Big skate,46.137219339834054,42.21976423914962,-3.9174551006844354,-8.490878203624582,-131.416112,-103.22486166666665,28.191250333333343,-21.451898023990655
Beringraja rhina,Longnose skate,44.329902620810145,44.387950182584966,0.05804756177482062,0.13094448294044048,-210.27680666666666,-199.7849,10.491906666666665,-4.989569146015501
Citharichthys sordidus,Pacific sanddab,40.434740901682694,42.294720225138576,1.8599793234558817,4.599953609146235,-102.354738,-93.19522333333333,9.159514666666666,-8.948794013489309
Clupea pallasii,Pacific herring,44.34036280531865,42.477477215953975,-1.862885589364673,-4.201331408910391,-116.12558,-106.18684999999999,9.938730000000007,-8.558605261648646
Doryteuthis opalescens,California market squid,40.161917758272274,38.90816254731356,-1.2537552109587153,-3.121751352873271,-107.52345666666668,-107.53414500000001,-0.010688333333334299,0.009940466633684579
Eopsetta jordani,Petrale sole,44.615157328156236,43.49344416036968,-1.1217131677865595,-2.514197494667706,-155.49284,-134.19657000000004,21.296269999999964,-13.695981113985676
Gadus chalcogrammus,Walleye pollock,48.32709951088032,48.57013876460892,0.2430392537285968,0.5029046977542676,-145.3213066666667,-110.67565666666667,34.64565000000002,-23.84072287449843
Gadus macrocephalus,Pacific cod,47.936120568252456,47.9884919869811,0.05237141872864726,0.10925251795059163,-193.41413333333335,-187.60080666666667,5.813326666666683,-3.0056369544866155
Glyptocephalus zachirus,Rex sole,44.00955443391748,44.26679374159283,0.2572393076753485,0.5845078664943224,-207.26490333333334,-207.2433133333333,0.02159000000003175,-0.010416621267185636
Gorgonocephalus eucnemis,Basket star,44.217586189196226,44.26517904322782,0.04759285403159197,0.10763331545949568,-96.80793833333333,-145.41549,-48.60755166666668,50.210295254196026
Hippoglossoides elassodon,Flathead sole,47.51817263482324,47.93673917738305,0.41856654255981596,0.8808557218235145,-134.73732166666665,-145.87002333333334,-11.13270166666669,8.26252260988862
Hippoglossus stenolepis,Pacific halibut,45.71769271218303,47.134074554971164,1.4163818427881338,3.0981043853306507,-174.0902266666667,-188.25136666666663,-14.161139999999932,8.134368178585056
Hydrolagus colliei,Spotted ratfish,47.07109478290647,45.53533411148194,-1.5357606714245335,-3.2626406471052247,-196.75922333333332,-192.65742,4.101803333333322,-2.0846816041677414
Icelinus filamentosus,Threadfin sculpin,44.25359691386394,45.52961951849164,1.2760226046277054,2.8834325198726347,-238.79728,-254.02830333333335,-15.231023333333354,6.378223124372838
Lepidopsetta sp.,Rock soles,45.676067746998136,43.09665081441031,-2.579416932587826,-5.6471956974828394,-88.97774633333334,-97.03911866666665,-8.06137233333331,9.05998709287753
Lycodes cortezianus,Bigfin eelpout,43.067004969122884,42.895552412022134,-0.1714525571007499,-0.3981065254564921,-296.9393733333333,-313.45480000000003,-16.515426666666713,5.561885068076538
Lyopsetta exilis,Slender sole,43.88803712904164,44.71093563324559,0.8228985042039483,1.8749950055511118,-225.6107833333333,-212.36779,13.242993333333288,-5.869840589032109
