Scientific.Name	row_ids
22 DIVISION FISH EGG	R19223
ABARENICOLA VAGABUNDA VAGABUNDA	R16607
ABIETINARIA FILLICULA	R17715
ABLABESMYIA ANNULATA	R03205
ABLABESMYIA MALLOCHI	R03206
ABLABESMYIA MONILIS	R03207
ABRELIOPSIS FELIS	R18984
ACANTHARIAN	R00612
ACANTHINA	R00643
ACANTHOPTILUM SCALPELIFOLIUM	R17591
ACCEDOMOERA MELANOPHTHALMA	R15717
ACHAEUS GRACILIS	R03235
ACLIS MINOR	R03246
ACMIRA HORIKOSHII	R03251
ACTEOCINA INVOLUTA	R03261
ACTITIS MACULARIUS	R17159
ACUMINODEUTOPUS HETERUROPUS	R00672;R12126
ADAMSIA PALLIATA	R03270
ADULA FALCATA	R14203
AEGINA	R08913
AGALOPHENIA LATIROSTRIS	R17875
AGGREGATING JELLY	R17745
AGLAJA	R03280
AGLAOPHAMUS PULCHRA	R05853
AGLAOPHENIA STRUTHIONIDEA	R17725
ALCYONIDIUM	R00697
ALCYONIUM	R03295
ALEXANDRIUM CANTENELLA	R18202
ALIA	R00699;R11259
ALLORCHESTES ANGUSTA	R03304;R15719
ALVANIA	R00711
ALVANIA CRASSA	R03323
AMATHIA	R00721
AMMOIA BECCARII	R13685
AMPELISCA CRISTATA CRISTATA	R00743
AMPELISCA CRISTATA MICRODENTATA	R00744
AMPELISCA PACIFICA	R00751;R12168;R15737
AMPHICARYON GRACILIS	R00382
AMPHILOCHOIDES BOECKI	R03399
AMPHINEMA TURRIDA	R16612
AMPHIOPLUS JAPONICUS	R03408
AMPHIPHORUS FLAVESCENS	R12184
AMPHIPORUS BIMACULATUS	R12185;R13952
AMPHIPORUS BIOCULATUS	R03415
AMPHITRITE	R00792
ANACHIS	R03436
ANADARA DILUVII	R03446
ANAPAGURUS HYNDMANNI	R03460
ANAPAGURUS LAEVIS	R03461
ANAPAGURUS SERRIPES	R03464
ANCISTROSYLLIS HAMATA	R00818
ANOMIA SIMPLEX	R03490
ANONYX NUGAX	R03493;R15752
ANOPLODACTYLUS PYGMAEUS	R03496
ANOPLOPOMA FIMBRIATUM	R09463
ANOTOPTERUS PHARAO	R07517
ANSERIFORM	R00022
ANTALIS PRETIOSUM	R00837
ANTHO GRACEAE	R13741
ANTHO JIA	R13745
ANTHO LAMBEI	R13744
ANTHUS RUBESCENS	R17247
ANTIPLANES THALEA	R00843
AOROIDES COLUMBIAE	R00847;R15754
AOROIDES SECUNDUS	R12218
APHELOCHAETA MONILARIS	R00853;R17051
APHELOCHAETA MULTIFILIS	R17052
APIONSOMA MISAKIANUM	R00860
APISTOBRANCHUS ORNATUS	R00863
APLOLEMIA LANOSA	R17794
APLYSIA	R03545
APORRHAIS SERRESIANUS	R03563
APSEUDES TALPA	R03571
APSEUDOMORPHA	R03574
ARACHNIDIUM	R03577
ARAPHURA	R00877
ARAPHURA BREVIMANUS	R03578
ARICIA	R03598
ARICIDEA BELGICAE	R03607
ARICIDEA CAPENSIS BANSEI	R03610
ARICIDEA FINITIMA	R03612
ARICIDEA LOPEZI ROSEA	R03616
ARICIDEA MEDITERRANEA	R03275
ARICIDEA SUECICA MERIDIONALIS	R03624
ARMANDIA	R00903
ARMANDIA BREVIS	R00904;R12242;R16900
ARTEDIUS FENESTRALI	R15326
ASCIDIELLA	R03640
ASCIDIELLA ASPERA	R12251
ASCORHYNCHUS ARENICOLA	R03647
ASPIDELECTRA MELOLONTHA	R03649
ASTACILLA DILATATA	R03593
ASTARTE	R03660
ASTERIAS	R03671
ASTERIAS RUBENS	R03672
ASTEROLIBERTIA GIBBOSA	R03673
ASTRAEA GIBBEROSA	R14838
ASTROPECTEN ARMATUS	R00926;R12257;R17949;R18292
ASTROPECTEN IRREGULARIS	R03677
ASTROPECTEN IRREGULARIS TYPICUS	R03679
ASTROPECTEN JONSTONI	R03680
ASTROPECTEN MARGINATUS	R12259
ASYCHIS	R03684
ATEAEOLIDIELLA CHROMOSOMA	R14614
ATELECYCLUS ROTUNDATUS	R03688
ATELECYCLUS UNDECIMDENTATUS	R03689
ATYLUS SWAMMERDAMI	R03699
ATYS MACANDREWI	R03702
AURELIA	R00023;R00622;R09678;R09798
AXARUS	R03729
AXINELLA	R13707
BALAENOPTERA MUSCULUS	R00001;R07475;R09394;R09803;R13438;R14918;R18151
BALCIS PHILIPPI	R03742
BARLEEIA HALIOPTIPHILA	R12271
BARTSCHELLA LAMINATA	R14433
BASILIOCHITON HEATHII	R14840
BATEA CATHARINENSIS	R03746
