Scientific.Name	row_ids
BATHOPHILUS	R07541
BATHYPOREIA PILOSA	R03759
BEROE	R00304;R10645
BEROE CUCUMIS	R00302;R08939;R17920
BIG ONCAEA	R18950
BLUE GREEN ALGAE	R11101
BOLMA RUGOSA	R03675
BOREOCHITON RUBER	R07087;R14841
BOREOMYSIS CALIFORNICA	R16425
BORINGCLAM	R11346
BOSMINA LONGIROSTRIS	R10664
BOTRYLLUS VIOLACEOS	R09467
BOUGAINVILLIA MERTENSI	R17671
BRACHIOPODA	R19251
BRAMA	R07561
BRANCHIOMMA BAIRDII	R12301
BRANCHIOMMA NIGROMACULATA	R03826
BRANCHIURA	R03835
BUCCINUM SCALARIFORME	R08476;R08564;R08690
CAECUM COOPERI	R03868
CAESIA FOSSATUS	R01026
CALANUS GRACIALIS	R00179
CALIDRIS ACUMINIATA	R17164
CALIDRIS VIRGATA	R17174
CALIGUS ELONGATUS	R15689
CALLIBAETIS	R01035
CALLIOSTOMA CANALICULATUM	R11499;R14809
CALLIOSTOMA PAPILLOSUM	R03891
CALUREPA	R18829
CALYCOPSIS NEMATOPHORA	R08955
CANCELLARIA	R03919
CANCER ANTENNARIUS	R00313;R03921;R11391;R11754;R18975
CANCER IRRORATUS	R09469
CANTHARUS	R03925
CAPRELLA	R01062
CAPRELLA PENANTIS	R03932;R12346;R15783
CAPRELLA PILIDIGITATA	R15784
CAPRELLA SANTOSROSASI	R03940
CARCINUS	R03947
CARCINUS MAENUS	R18969
CASSIDULINA LIMBATA	R13690
CASSIDULINA SUBGLOBOSA	R13689
CELLEPORA PUMICOSA	R03977
CEPHALOSCYLLIUM VENTRIOSUM EGG	R18366
CEPHALOTHRIX	R01095
CERAMIUM	R11121
CERASTODERMA GLAUCUM	R03988
CERATOMYXA BLENNIUS	R17918
CERATOSTOMA ERINACEUM	R04001
CEREBRATULUS MARGINATUS	R01102;R13991
CHAENOPHYNE MELANORHABDUS	R15066
CHAETODERMA	R01108
CHAETODERMA MARINELLI	R01111
CHAETOPTERUS	R00597;R04028;R10925;R18379
CHAMELEA GALLINA STRIATULA	R04034
CHAOBORUS	R04036
CHAOBORUS ALBATUS	R04037
CHAOBORUS PUNCTIPENNIS	R04038
CHARYBDIS RIVERSANDERSONI	R04041
CHEIRASTER DAWSONI	R08425
CHEIROCRATUS SUNDEVALLI	R04049
CHELONAPLYSILLA POLYRAPHIS	R13718
CHEN CANAGICA	R17140
CHIONE	R01138
CHIRIDOTEA TUFTSI	R04057
CHIRONOMUS ANTHRACINUS	R04062
CHIRONOMUS CRASSICAUDATUS	R04064
CHIRONOMUS TENTANS	R04067
CHIRONOMUS VIRIDULUS	R04068
CHITONOTUS PUGENTENSIS	R19067
CHLAMYS	R01146
CHLOROSTOMA BRUNNEA	R11066
CHONDRACANTHUS EXASPERTATUS	R11372
CHONE	R01149
CHONE GRACILIS	R16845
CHRYSALLIDA FENESTRATA	R04094
CHRYSALLIDA INDISTINCTA	R04095
CHRYSALLIDA SPIRALIS	R04099
CHRYSAORA	R00024;R08973;R09834
CHTHAMALU DALLI	R13450
CLADOTANYTARSUS MANCUS	R04135
CLAM	R18335
CLATHRIA ASODES	R13752
CLATHRIA PROLIFERA	R13695
CLATHRIA PSEUDONAPYA	R13759
CLATHROMANGELIA INTERFOSSA	R11670
CLAVULARIA	R13453
CLEVLANDIA IOS	R19118
CLINOTANYPUS PINGUIS	R04144
CLYMENE	R04147
CLYTIA	R01173
CNIDARIAN MEDUSAE	R08979
COELOTANYPUS	R04170
COLONIAL DIATOM	R11102
COLUS	R04174;R14697
CONCHOECIA LOPHORA	R00485
CONICERA TIBIALIS	R12401
CONUS VENTRICOSUS	R04181
CORALLINA	R11031;R11129
CORALLINE ALGAE -CRUSTOSE	R18353
CORALLIUM	R17542
CORBICULA	R04182
CORBULA	R03042
COROLLA PSEUDCONCH	R00451
COROPHIIDA	R01188
COROPHIUM LAMELLATUM	R04197
CORYCAEUS NEW SPECIES	R19184
CORYPHAENOIDES	R07608
COSTAZIA ROBERTSONIAE	R17329
COSTAZIA VENTRICOSA	R17330
COTTIDAE ARTEDIUS	R19066
COTTIDAE LEPTOCOTTUS	R19064
CRABS	R19201
CRANGON	R00321;R01200;R08986;R09699;R09847;R11413
CREPIDULA CONVEXA	R03046;R14463
CREPIDULA INCURVA	R12414
CREPIDULA NATICARUM	R03047;R12415
CREPIDULA NORRISIANUM	R03048
CREPIDULA PLANA	R03051;R14469
CRESEIS CONICA	R18212
CRISIA OCCIDENTALIS	R17451
CROSSASTER BORELAIS	R17976
CRUCIGERA IRREGULARIS	R10159
CRUSTOSE CORALLINES	R11130
CRYPTOCHIRONOMUS FULVUS	R04245
CRYPTOLEPAS RACHIANECTI	R16466
CRYPTOPLEURA	R11201
CTENOCALANUS FURCATUS	R00207
CTENODISCUS CRISPATUS	R04247;R08483;R08570;R08631;R17953
CTENOPHORA	R08990;R09848
CUCUMARIA	R01227;R11155;R18363
CULEOLUS BARRYI	R13543
CULTELLUS	R04253
CUMELLA	R01232;R08992
CUMELLA ARGUTA	R04255
CUMELLA CALIFORNICA	R01233;R12431
CUMELLA GARRITYI	R04256
CUMELLA LIMICOLA	R04257
CUMELLA MORION	R01234
CUMELLA PYGMAEA	R04258
CUMELLA VULGARIS	R04259;R15960
CUMOPSIS	R04260
CUP CORAL	R18364
CUSPIDARIA ROSTRATA	R04270
CYAMUS CETI	R15798
CYCLOGYRA LAJOLLAENSIS	R13679
CYCLONEDA SANGUINEA	R12446
CYMADUSA FILOSA	R04302
CYMAKRA GRACILIOR	R11704
CYSTODES LOBATUS	R11026
DACRYDIUM	R01257
DANOPHOS OCULATUS	R19120
DAPHNIA	R10609
DARWINIA	R04793
DECAPODIFORMES LARVAE	R08999
DELPHINUS CAPENSIS	R09409;R09854
DENTALIUM	R03055
DESMARESTIA	R18371
DESMOSCOLEX CALIFORNICUS	R14018
DEXIOSPIRA BRASILIENSIS	R16886
DEXIOSPIRA PAGENSTECHERI	R04345
DIAPEROECIA PUNCTULATA	R11314
DIAPHANA	R04347
DIATHRODES CYSTOECUS	R15563
DIATOM LAYER	R18638
DIATOMS	R11103
DICROTENDIPES NEOMODESTUS	R04370
DIGITARIA NUDA	R04373
DIOGENES	R04379
DIOPATRA CHILIENSIS	R04382
DIPLOSOMA LISTERRIANUM	R09486
DIPOLYDORA BRACHYCEPHALA	R16989
DISCANTHOMYSIS DYBOWSKII	R09005
DISCURRIA INCESSA	R14753
DONAX SEMISTRIATUS	R04407
DORIS	R04414
DORYTEUTHIS OPALESCENCE	R18986
DOTO	R01330
DYNAMENA	R04436
EBALIA NUX	R04446
ECHINASTER	R11490
ECHINASTER SEPOSITUS	R04449
ECHINUS	R04463
EDULIS	R11097
EDWARDSIA	R01351
EHLERSIA HYPERIONI	R16689
ELASMOPUS LEVIS	R04489
ELPHIDIUM CRISPUS	R13683
EMARGINULA ROSEA	R04499
ENDOCHIRONOMUS	R04507
ENSIS DIRECTUS	R04517
ENSIS MINOR	R04519
ENTEROCTOPUS DOFLIENI	R18989
EOCUMA LATA	R04525
EPHORON VIRGO	R04529
EPONIDES COLUMBIENSIS	R13687
ERANNO CHILENSIS	R04543
ERATO	R01390
EREMICASTER PACIFICUS	R17957
ERICERODES HEMPHILLI	R12526
ERICTHONIUS DIFFORMIS	R04549
ERICTHONIUS RUBRICORNIS	R01395;R12529;R15826
ERYTHROPS ERYTHROPHTHALMUS	R04561
EUBRANCHIPUS VERNALIS	R12533
EUCALANUS NEW SPECIES	R19165
EUCLYMENE SANTANDARENSIS	R04153
EUDISTOMA OCCIDENTALIS	R13553
EUGYRA	R01422
EULALIA BILINEATA	R04598
EULIMA BILINEATA	R04611
EULIMA GLABRA	R04612
EUMIDA MINUTA	R04622
EUNEREIS ELITTORALIS	R04625
EUNICE	R01436
EUNICE SANGUINEA	R04637
EUPHAUSIA GROUP 1A	R00358
EUPHROSINE	R04645
EURYDICE	R04655
EURYLEPTIDAE	R01449
EURYTEMORA HERDMANNI	R09031
EUSARSIELLA	R01450
EUSIRUS HOLMI	R09035
EUSPIRA GUILLEMINI	R04678
EUSTOMIAS	R07651
EVADNE	R00163;R09038;R19157
EXOGONE LOPEZI	R04701
EXOGONE PSEUDOLOUREI	R04702
FABRICIA	R04709
FARREA ACULEATA	R13851
FIMBRIOSTHENELAIS HOBBSI	R04724
FIMBRIOSTHENELAIS MINOR	R04725
FIROLOIDA DESMARESTI	R00455
FLABELLINA	R04214
FLABELLINOPSIS TRILLINEATA	R12582
FOLINIA CRASSA	R04729
FORCEPIA HYMENA	R13762
FREEMANIA LITTORICOLA	R13940
FUCUS	R11105;R13460
GALATHEA	R04736
GALLOPROVINCIALIS	R11096
GAMMAROPSIS OCIOSA	R03074
GAMMAROPSIS UTINOMII	R04758
GARI TELLINELLA	R04777
GASTROSACCUS	R04782
GENUS	R01515
GEODIA MESOTRIAENA	R13823
GIBBONSIA	R07663;R18412
GIBBULA	R04800
GLYCERA	R01525
GLYCERA LAPIDUM	R04824
GLYCERIDAE HEMIPODUS	R09494
GLYPHOHESIONE KLATTI	R04837
GLYTOCEPHALUS ZACHIRUS	R13463
GOLFINGIA ELONGATA	R04843
GOLFINGIA MARGARITACEA CALIFORNIESIS	R13646
GONIOPSYLLUS ROSTRATA	R10765
GONOSTOMA	R07679
GONOSTOMATIDAE	R07682
GONOTHYRAEA CLARKI	R17743
GORGONIAN ADULT	R18417
GRANIA	R04864
GRIMALDITEUTHIS BONPLANDII	R14376
GROMIA OVIFORMIS	R13692
GUERNEA REDUNCANS	R01565;R15835
GYMNOGYPS CALIFORNIANUS	R17119
GYPTIS	R01567
GYPTIS ROSEA	R04881
HALICLONA EDAPHUS	R13725
HALICLONA TEXTAPATINA	R13726
HALICLYSTUS AURICULA	R17902
HALICLYSTUS CALIFORNIENSIS	R17903
HALIELLA STENOSTOMA	R04892
HALIOTIS CRAHERODII	R18791
HALIOTIS KANTSCHATKANA	R18811
HALIOTIS WALLENSIS	R18799
HALITOSIS RUFESCENS	R18144
HALOPHILA LONGICAUDA	R17353
HALOSYDNA BREVISETOSA	R01582;R10164;R12623;R16729
HAMACANTHA HYALODERMA	R13737
HAPLOOPS	R04905
HAPLOPHTHALMUS DANICUS	R12628;R16340
HARMOTHOE LONGISETIS	R04928
HARNISCHIA	R04933
HAUSTORIUS ARENARIUS	R04952
HEMICYCLOPS	R10631
HENRICIA	R01620;R11190;R18435
HENRICIA SANGUINOLENTA	R17971
HEPTACYCLUS DIMINUTUS	R16590
HEPTACYCLUS VIRIDUS	R16589
HERMADION TRUNCATA	R16734
HERMOSILA AZUREA	R18897
HESPERATO	R01632
HESPERONOE COMPLANTA	R16740
HETEROCHAETA	R04984
HETEROKROHNIAIN VOLUCRUM	R09058
HETEROMYSIS FORMOSA	R04988
HETEROMYSIS NORVEGICA	R04989
HETEROMYSIS ODONTOPS	R01641;R12652
HETERORHABDUS	R00234;R09060;R11816;R19177
HEXAGRAMMOS STELLER	R15370
HIATELLA	R04996
HIMA MENDICA	R03082
HINEOMYIA	R03083
HIPPASTERIS LEPIDONOTUS	R17981
HIPPASTERIS PHYRIGIANA	R17982
HIPPASTERIS TIBURONI	R17983
HIPPLOGLOSSINA STOMATA	R15274
HIPPOMEDON HOLBOLLI	R05011
HIPPOPORINA INSCULPTA	R17361
HIPPORINA MEXICANA	R10962
HOLOTHURIA	R05017
HORNELLIA OCCIDENTALIS	R01666;R12665;R15836
HOWELLA	R07701
HYALE SCHMIDTI	R05027
HYALIDAE	R01670
HYDROBATES HOMOCHROA	R09901
HYDROBATES MELANIA	R09903
HYDROBATES MICROSOMA	R09904
HYDROBIA TRUNCATA	R05042
HYDROID	R18451
HYDROMEDUSAE	R09069
HYMEDESMIA ARNDTI	R13765
HYPERIA	R09072
HYPERTEONE FAUCHALDI	R12671
HYPOCRITICHTHYS ANALE	R15142
HYSTEROLICITHA TRILOCALIS	R12672
IDANTHYRSUS MACROPALEA	R05051
IDOTEA WASNESENSKII	R11826
INTERPLANA SANDIEGIENSIS	R12678
INVERTEBRATA	R08418
IPHIMEDIA	R05077
IPHIMEDIA CARINATA	R05079
IPHINOE	R05082
IRIDIA SERIALIS	R13675
ISAEIDAE	R01691
ISOGNOMON RADIATUS	R05097
JANTHINA GLOBOSA	R14397
JASSA FALCATA	R05110;R15843
JORDANIA ZONOPE	R15348;R18454
KALLIAPSEUDES BAHANENSIS	R05121
LAEVICARDIUM ROBUSTUM	R05163
LAGEODELPHIS HOSEI	R14925
LAGISCA FLOCCOSA PROPINQUA	R05168
LAMINARIA	R18467;R18468;R18469
LAMINARIA SETCHELLI	R18743
LAQUEUS CALIFORNIANUS	R01747
LATOPLANA EVIS	R12710
LEITOSCOLOPLOS ELONGATUS	R16922
LEMBOS	R05206
LEMBOS WEBSTERI	R05210
LENSIA	R00404;R10624
LENSIA MULTICRISTATA	R17829
LEPAS HILLII	R16550
LEPAS PACIFICA	R16469
LEPIDACTYLUS DYTISCUS	R05214
LEPIDASTHENIA LONGICIRRATA	R01766;R12720;R16747
LEPIDASTHENIA OCELLATA	R05218
LEPIDOPSETTA	R00535;R08443;R08507;R08587;R08646;R08711;R08868
LEPTASTERIAS HEXATIS	R17931
LEPTOCEPHALUS HOLTI	R07739
LEPTOCHEIRUS PILOSUS	R05240
LEPTOCHEIRUS PINGUIS	R05241
LEPTOCHELIA	R01778
LEPTOCHELIIDAE	R05250
LEPTOCHITON ALGESIRENSIS	R05230
LEPTOGNATHIA	R05254
LEPTOGNATHIIDAE	R01784
LEUCON	R01793;R09084
LEUCON AFFINIS	R05278
LEUCON AMERICANUS	R05279
LEUCON BISHOPI	R01794
LEUCON DECLIVIS	R01795
LEUCON FALCICOSTA	R01796
LEUCON MAGNADENTATUS	R01798
LEUCON MEDITERRANEUS	R05280
LEUCON SERRATUS	R05282
LEUCON SIPHONATUS	R05283
LEUCON SUBNASICA	R01799;R12732
LEUCONIDAE	R01800;R09085
LEUCOSOLENIA ELANOR	R11016
LEUCOTHOE RICHIARDII	R05293
LEVINSENIA	R01807
LIGIA EXOTICA	R05298
LILJEBORGIA	R01811
LILLOPATHESS	R13472
LIMARIA	R05311
LIMATULA SUBAURICULATA	R05306
LINCHKIA COLUMBIAE	R17984
LINEUS VIRIDIS	R05327
LIOCARCINUS VERNALIS	R05342
LIPARIS	R00543;R07745;R18481;R19237
LIPARIS CALLYDON	R00540
LIPARIS PULCHELLIS	R08188
LITTORARIA INTERMEDIA	R05353
LITTORINA SAXATILIS	R05360;R14501
LIVONECA VULGARIS	R12760
LONGCHAEUS SUTURALIS	R06615
LOPHOGORGIA CHILENSIS	R10942;R11691;R18814
LOTTIA MACCLEANI	R11684
LOTTIA POLYFACIES	R11602
LUBBOCKIA	R09089;R10632
LUBBOCKIA SQUILLIMANA	R09090
LUCICUTIA FAVICORNIS	R09092
LUCICUTIA OVALIS	R09093
LUCINA	R05375
LUCINOMA AEQUIZONATUM	R01851
LUCINOMA ANNULATUM	R01852
LUCIOBROTULA	R15091
LUIDIA SARSI	R05383
LUMBRINERIS INDEX	R01865;R16639
LUMBRINERIS JAPONICA	R01867;R16641
LUMPENUS FABRICII	R08516;R08720
LUTRARIA LUTRARIA	R05421
LYCHNAGALMA UTRICLARIA	R17832
LYSIANASSA	R05430
LYSIANASSA CERATINA	R05432
LYSIANASSA PLUMOSA	R05437
LYSIPPE	R01877
MACROCHAETA	R01886
MACROPINNA MISCROSTOMA	R14993
MACROPODIA	R05470
MACROPODIA ROSTRATA	R05475
MACTRA ANTIQUATA	R05477
MACTRATOMA CALIFORNICA	R12793
MAERA	R05480
MAGELONA PAPILLICORNIS	R05499
MALACOCEPHALUS LAEVIS	R15040
MANGELIA COSTULATA	R03764
MARGELOPSIS HARTLAUBI	R09099
MARSENINA STEARNSI	R14505
MAYERELLA	R01937
MEGALOCERUS HUXLEYI	R13617
MEGALUROPUS	R05555
MEGALUROPUS AGILIS	R05556
MEGAMPHOPUS MAMOLA	R01504
MEGASELIA NIGRA	R12811
MEGASELIA SULPHURIZONA	R12813
MELANELLA	R00940
MELANELLA BILINEATA	R05562
MELANELLA CUMINGI	R05564
MEMBRANIPORA FUSCA	R17371
MESOPHYLLUM	R11275
MESOPLODON CARLSHUBBI	R07501
MESOPLODON DENSIROSTRIS	R07503;R14943
MESOPLODON STEJNEGERI	R07502;R14945
METASYCHIS DISPARIDENTATA	R01973
METERYTHROPS MICROPTHALMUS	R09108
METIS	R10633
METOPA NORVEGICA	R05612
METRIDIA OKOTENSIS	R09111
METRIDIA PSEUDOPACIFICA	R00244
MICROCALANUS	R09116
MICROCALANUS PYGMAEUS	R09115;R10716;R11837
MICROCHARON	R01979;R12070
MICRONEPHTHYS MINUTA	R05634
MICROPORELLOIDES CALIFORNICA	R17375
MICROPORELLOIDES CATALINENSIS	R17376
MICROSTOMA	R07771
MICROSTOMUS PACFICUS	R13475
MICRURA LEIDYI	R05652
MITRELLA	R01996
MITRELLA MISERA	R05656
MONODIAMESA	R05692
MONODIAMESA BATHYPHILA	R05693
MONOSTYLIFEROIDEA	R02019
MONTICELLINA	R02020
MONUS BASSANUS	R00070
MUGGIAEA	R19147
MULTIPENIATA CALIFORNICA	R13898
MUNIDA	R00330
MUNNOGONIUM	R02030
MURICEA FARCIMEN	R10945
MUSCULUS	R02036;R11500
MYA	R05720
MYOCHLAMYS EUPATAGONICA	R04072
MYSIS RELICTA	R09133
MYXICOLA INFUNDIBULUM	R05751;R16865
NAINERIS DENDRITICA	R02062;R12876;R16933
NAIS	R05756
NAIS VARIABILIS	R05762
NASSARIUS IDYLLIUS	R05780
NASSARIUS TEGULA	R14569
NATICARIUS DILLWYNI	R05791
NEANTHES LIMNICOLA	R05801
NEARCHASTER ACICULOSUS	R08805;R17946
NECORA PUBER	R05340
NEMATONEREIS UNICORNIS	R05814
NEMERTOPSIS GRACILIS	R13967
NEOLEPTON SUBTRIGONA	R12891
NEPHASOMA EREMITA	R13650
NEPHROPS	R05831
NEPHTHYS BILOBATA	R05834
NEREIS MICROMMA	R05802
NEREIS NEONIGRIPES	R12902
NEREIS ZONA	R12905
NEREOCYSTIS LEUTKEANA	R18255
NERITA COSTATA	R05877
NIPPONNEMERTES BIMACULATA	R03414
NO FISH	R07362
NONE	R08204
NONIONELLA BASISPANATA	R13684
NORRISIA NORRISI	R05899;R11529
NOT APPLICABLE	R08391
NOTOCIRRUS	R05906
NOTOPLANA INQUIETA	R13880
NOTOTROPIS GUTTATUS	R03697
NUCULA SULCATA	R05924
NUCULA TUMIDULA	R05926
NUTTALLINA	R11050;R11184
NYMPHON GRACILE	R05936
OBELIA	R00412;R02170;R09148;R10620;R10988;R11217
OCEANODROMA FURCOTA	R17272
OCEANODROMA LEUCORHOA CHAPMANI	R09310
OCINEBRINA ATROPURPUREA	R12922
OCINEBRINA CIRCUMTEXTA	R12924
OCINEBRINA GRANDILURIDA	R12927
OCINEBRINA MINOR	R12930
OCINEBRINA MUNDA	R12931
OCINEBRINA SUBANGULATA	R12932
OCTOBRANCHUS	R02174
OCTOCORAL	R18533
ODOSTOMIA PLICATA	R05954
ODOSTOMIA TURRICULA	R12939
OESTERGRENIA THOMSONI	R05961
OGCOCEPHALIOIDEI	R07807
OIKOPLEURA GORSKY	R09150
OIKOPLEURA LABRADORIENSIS	R00435
OIKOPLEURA LONGICAUDA	R00436
OIKOPLEURA VANHOEFFENI	R09152
OITHONA	R09157;R11853
OLIGOCHAETA	R02190
OMALOPLIA	R00651
ONCAEA	R00252;R09158;R19183
ONCAEA CONIFERA	R00251
ONCHNESOMA SQUAMATUM	R05974
ONCHNESOMA STEENSTRUPI	R05975
ONCHORHYNCHUS CLARKII CLARKII	R15301
ONCORHYNCHUS TSCHAWYTSCHA	R09520
ONYCHOTEUTHIS BOREALIJAPONICUS	R07814;R08353
ONYCHOTEUTHIS SP B	R07815
OPALIA BOREALIS	R11423;R14401
OPHELINA CYLINDRICAUDATA	R03345
OPHIOTHRIX	R06024
OPHIUROID	R11286
OPHLITASPONGIA PENNATA	R11099
ORADAREA LONGIMANA	R02235
ORBINIA CUVIERI	R06053
ORCHOMENE DICIPIENS	R03126
ORCHOMENELLA	R02241;R10607
OSTREA EDULIS	R06066;R09522;R14270
OTHER BROWN CRUST	R11513
OTHER GREEN CRUST	R11299
OTHER RED ALGAE	R18627;R18628;R18637
OTHER RED CRUST	R11238
OTHOMAERA SCHMIDTI	R05487
OWENIA	R02250;R10653
OYSTER	R11617
PACHEGRAPSUS CRASSIPES	R18970
PACHYCERIANTHUS AESTUARII	R17627
PACHYCHELES HOLOSERICUS	R12973;R16148
PACHYCHELES RUDIS	R00335;R12975;R16150
PACHYCHETA	R02257
PACIFICANTHOMYSIS NEPHROPHTHALMA	R00477
PAGASTIELLA	R06075
PAGASTIELLA OROPHILA	R06076
PAGURUS CUANENSIS	R06081
PAGURUS SETOSUS	R02272;R16172
PALAEMON	R06091
PALEAQUOR HETEROSETA	R06095
PALOLA PALOLOIDES	R12997;R16651
PANDORA	R02277
PANOPEIDAE	R02282
PARACALANUS NEW SPECIES	R19166
PARACAPRELLA	R02283
PARACHIRONOMUS	R06116
PARACHIRONOMUS FREQUENS	R06117
PARACHIRONOMUS MONOCHROMUS	R06118
PARADEXAMINE	R02290
PARADIALYCHONE ECUADATA	R13007
PARAEDWARDSIA SARSI	R06131
PARAMETAPHOXUS FULTONI	R05602
PARAMPHINOME	R06147
PARAPINNIXA AFFINIS	R16206
PARASEBELLA FULLO	R13025
PAROITHONA PARVUS	R10762
PARVICARDIUM FASCIATUM	R06196
PATELLA	R06205
PECTINARIA	R06210
PECTINARIA BELGICA	R06212
PECTINARIA CALIFORNIENSIS	R02345;R13035;R17090
PECTINOIDEA	R02348
PEGEA	R08052
PEGEA SOCIA	R08051
PENNATULA	R06223
PENTAMERA PSEUDO CALCIGERA	R09527
PERIPLOMA DISCUS	R02366;R13051;R14073
PETROLISTHES RATHBUNAE	R16214
PEYSSONNELIA	R11142
PHACELLOPHORA CAMTCHATICA	R17896
PHALAROPUS	R09993
PHALAROPUS LOBATUS	R00078;R09361;R09995;R17208
PHALASCOPHORUS PICTUSBOREALIS	R09191
PHASCOLION CRYPTUM	R06250
PHASCOLION STROMBUS	R06251
PHASCOLOSOMA	R02387
PHEATHON RUBRICAUDA	R09362
PHERUSA	R02388
PHILINE APERTA	R06265
PHILOMEDES	R02398
PHORONA	R03147
PHORONIDA ACTINOTROCH	R09192
PHOTIS CALIFORNICA	R03148;R13072
PHOTIS POLLEX	R06301
PHOTIS REINHARDI	R06302
PHYLLOCHAETOPERUS SOCIALIS	R13077
PHYLLODOCE	R02427
PHYLLODOCE GROENLANDICA	R02429;R16789
PHYLLODOCE LAMELLIGERA	R03449
PHYLLODOCE LINEATA	R03450
PHYLLODOCE MACULATA	R03451;R16791
PHYLLODOCE MUCOSA	R03453;R16793
PHYLO FOETIDA ATLANTICA	R06321
PHYLO LIGUSTICA	R06323
PHYSONECTIDAE	R02439
PIKEA	R11370
PILUMNUS	R06328
PILUMNUS HIRTELLUS	R06329
PILUMNUS INERMIS	R06330
PILUMNUS SPINIFER	R06332
PINNA RUDIS	R06336
PINNOTHERES	R10644
PIRAKIA PUNCTIFER	R06320
