Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	modified	bibliographicCitation	references	identifier	title	datasetID.y	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI
DISCULA	R07161	996329	urn:lsid:marinespecies.org:taxname:996329	NA	NA	NA	Discula	Discula	Geomitrini	NA	NA	Animalia	Mollusca	Gastropoda	Stylommatophora	Geomitridae	Discula	NA	NA	NA	Genus	"R. T. Lowe, 1852"	accepted	2021-07-26T06:25:55.747Z	"MolluscaBase eds. (2024). MolluscaBase. Discula R. T. Lowe, 1852. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=996329 on 2024-11-08"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=996329	NCBI:txid2109287	NA	NA	996329	994936	NA	NA	NCBI:txid2109287
DONAX	R04406	137906	urn:lsid:marinespecies.org:taxname:137906	urn:lsid:marinespecies.org:taxname:137906	urn:lsid:marinespecies.org:taxname:137906	urn:lsid:marinespecies.org:taxname:236	Donax	Donax	Donacidae	"Linnaeus, C. (1758). Systema Naturae per regna tria naturae, secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. <em>Editio decima, reformata [10th revised edition], vol. 1: 824 pp. Laurentius Salvius: Holmiae.</em> "	1758	Animalia	Mollusca	Bivalvia	Cardiida	Donacidae	Donax	NA	NA	NA	Genus	"Linnaeus, 1758"	accepted	1/6/22	"MolluscaBase eds. (2024). MolluscaBase. Donax Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137906"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137906	NCBI:txid40129	To Genbank	ncbi	137906	236	NA	NCBI:txid40128	NCBI:txid40129
EULALIA	R01424	129445	urn:lsid:marinespecies.org:taxname:129445	urn:lsid:marinespecies.org:taxname:129445	urn:lsid:marinespecies.org:taxname:129445	urn:lsid:marinespecies.org:taxname:152229	Eulalia	Eulalia	Eteoninae	"Savigny, Jules-César. (1822). Système des annélides, principalement de celles des côtes de l'Égypte et de la Syrie, offrant les caractères tant distinctifs que naturels des Ordres, Familles et Genres, avec la Description des Espèces. <em>Description de l'Égypte ou Recueil des Observations et des Recherches qui ont été faites en Égypte pendant l'Expédition de l'Armée Française, publié par les Ordres de sa Majesté l'Empereur Napoléon le Grand, Histoire Naturelle, Paris.</em> 1(3):1–128."	1822	Animalia	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	Eulalia	NA	NA	NA	Genus	"Savigny, 1822"	accepted	1/23/23	"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Eulalia Savigny, 1822. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129445"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129445	NCBI:txid251454	To Genbank	ncbi	129445	152229	NA	NA	NCBI:txid251454
FRITILLARIA	R00433;R09042;R11809;R19222	103358	urn:lsid:marinespecies.org:taxname:103358	urn:lsid:marinespecies.org:taxname:103358	urn:lsid:marinespecies.org:taxname:103358	urn:lsid:marinespecies.org:taxname:342471	Fritillaria	Fritillaria	Fritillariinae	Fol H. (1872). Etudes sur les Appendiculaires du détroit de Messine. <em>Memoires de la Société de physique et d'histoire naturelle de Genève.</em> 21: 445-499.	1872	Animalia	Chordata	Appendicularia	Copelata	Fritillariidae	Fritillaria	NA	NA	NA	Genus	"Fol, 1872"	accepted	4/10/08	"Garic, R. (2024). World List of Appendicularia. Fritillaria Fol, 1872. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=103358"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=103358	NCBI:txid2507559	To Genbank	ncbi	103358	342471	NA	NA	NCBI:txid2507559
HAMIGERA	R13764	131947	urn:lsid:marinespecies.org:taxname:131947	urn:lsid:marinespecies.org:taxname:131947	urn:lsid:marinespecies.org:taxname:131947	urn:lsid:marinespecies.org:taxname:131655	Hamigera	Hamigera	Hymedesmiidae	"Gray, J.E. (1867). Notes on the Arrangement of Sponges, with the Descriptions of some New Genera. <em>Proceedings of the Zoological Society of London.</em> 1867(2): 492-558, pls XXVII-XXVIII."	1867	Animalia	Porifera	Demospongiae	Poecilosclerida	Hymedesmiidae	Hamigera	NA	NA	NA	Genus	"Gray, 1867"	accepted	12/13/20	"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Turner, T.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2024). World Porifera Database. Hamigera Gray, 1867. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131947"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=131947	NCBI:txid1336954	To Genbank	ncbi	131947	131655	NA	NCBI:txid252956	NCBI:txid1336954
HIRUNDICHTHYS	R07697	125693	urn:lsid:marinespecies.org:taxname:125693	urn:lsid:marinespecies.org:taxname:125693	urn:lsid:marinespecies.org:taxname:125693	urn:lsid:marinespecies.org:taxname:125452	Hirundichthys	Hirundichthys	Exocoetidae	NA	NA	Animalia	Chordata	Teleostei	Beloniformes	Exocoetidae	Hirundichthys	NA	NA	NA	Genus	"Breder, 1928"	accepted	11/21/14	"Froese, R. and D. Pauly. Editors. (2024). FishBase. Hirundichthys Breder, 1928. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125693"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=125693	NCBI:txid76073	To Genbank	ncbi	125693	125452	NA	NCBI:txid76072	NCBI:txid76073
KALI	R07721	125957	urn:lsid:marinespecies.org:taxname:125957	urn:lsid:marinespecies.org:taxname:125957	urn:lsid:marinespecies.org:taxname:125957	urn:lsid:marinespecies.org:taxname:125529	Kali	Kali	Chiasmodontidae	"Lloyd, R. E. (1909). A description of the deep-sea fish caught by the R. I. M. S. ship `Investigator' since the year 1900, with supposed evidence of mutation in Malthopsis. <em>Memoirs of the Indian Museum.</em> v. 2 (no. 3): 139-180, Pls. 44-50."	1909	Animalia	Chordata	Teleostei	Scombriformes	Chiasmodontidae	Kali	NA	NA	NA	Genus	"Lloyd, 1909"	accepted	11/21/14	"Froese, R. and D. Pauly. Editors. (2024). FishBase. Kali Lloyd, 1909. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125957"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=125957	NCBI:txid206141	To Genbank	ncbi	125957	125529	NA	NCBI:txid206140	NCBI:txid206141
LEPTOCHITON	R01779	138117	urn:lsid:marinespecies.org:taxname:138117	urn:lsid:marinespecies.org:taxname:138117	urn:lsid:marinespecies.org:taxname:138117	urn:lsid:marinespecies.org:taxname:59	Leptochiton	Leptochiton	Leptochitonidae	"Gray, J. E. (1847). A list of the genera of recent Mollusca, their synonyma and types. <em>Proceedings of the Zoological Society of London.</em> (1847) 15: 129-219. [November 1847]."	1847	Animalia	Mollusca	Polyplacophora	Lepidopleurida	Leptochitonidae	Leptochiton	NA	NA	NA	Genus	"J. E. Gray, 1847"	accepted	10/4/23	"MolluscaBase eds. (2024). MolluscaBase. Leptochiton J. E. Gray, 1847. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138117"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=138117	NCBI:txid256090	To Genbank	ncbi	138117	59	NA	NCBI:txid291856	NCBI:txid256090
LEPTOSTYLIS	R01788;R09081	110403	urn:lsid:marinespecies.org:taxname:110403	urn:lsid:marinespecies.org:taxname:110403	urn:lsid:marinespecies.org:taxname:110403	urn:lsid:marinespecies.org:taxname:110380	Leptostylis	Leptostylis	Diastylidae	"Sars, G.O. (1869). Undersøgelser over Christiania-fjordens Dybvansfauna anstillede paa en i Sommeren 1868 foretagen Zoologisk Reise. <em>Nyt Magazin for Naturvidenskaberne.</em> 16: 305-362."	1869	Animalia	Arthropoda	Malacostraca	Cumacea	Diastylidae	Leptostylis	NA	NA	NA	Genus	"G.O. Sars, 1869"	accepted	12/21/04	"Watling, L.; Gerken, S. (2024). World Cumacea Database. Leptostylis G.O. Sars, 1869. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110403"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=110403	NCBI:txid2546703	To Genbank	ncbi	110403	110380	NA	NCBI:txid27413	NCBI:txid2546703
LEUCOTHOE	R05284	101580	urn:lsid:marinespecies.org:taxname:101580	urn:lsid:marinespecies.org:taxname:101580	urn:lsid:marinespecies.org:taxname:101580	urn:lsid:marinespecies.org:taxname:101393	Leucothoe	Leucothoe	Leucothoidae	"Leach, W.E. (1813-1815). Crustaceology. <em>In: Brewster, D. (ed.), The Edinburgh Encyclopaedia. Balfour, Edinburgh, vol. 7(1): 383–384 [1813], 7(2): 385–437, 765–766 [1814], 9(1): pl. CCXXI [1815].</em> "	1813-1815	Animalia	Arthropoda	Malacostraca	Amphipoda	Leucothoidae	Leucothoe	NA	NA	NA	Genus	"Leach, 1814"	accepted	9/8/21	"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Leucothoe Leach, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101580"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101580	NCBI:txid371468	To Genbank	ncbi	101580	101393	NA	NCBI:txid371467	NCBI:txid371468
LYSIDICE	R05439	129280	urn:lsid:marinespecies.org:taxname:129280	urn:lsid:marinespecies.org:taxname:129280	urn:lsid:marinespecies.org:taxname:129280	urn:lsid:marinespecies.org:taxname:966	Lysidice	Lysidice	Eunicidae	"Lamarck, J.B. (1818). [volume 5 of] Histoire naturelle des Animaux sans Vertèbres, préséntant les caractères généraux et particuliers de ces animaux, leur distribution, leurs classes, leurs familles, leurs genres, et la citation des principales espèces qui s'y rapportent; precedes d'une Introduction offrant la determination des caracteres essentiels de l'Animal, sa distinction du vegetal et desautres corps naturels, enfin, l'Exposition des Principes fondamentaux de la Zoologie. <em>Paris, Deterville.</em> vol 5: 612 pp."	1818	Animalia	Annelida	Polychaeta	Eunicida	Eunicidae	Lysidice	NA	NA	NA	Genus	"Lamarck, 1818"	accepted	2/25/23	"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Lysidice Lamarck, 1818. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129280"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129280	NCBI:txid188454	To Genbank	ncbi	129280	966	NA	NCBI:txid104737	NCBI:txid188454
NEMATONEREIS	R05812	129282	urn:lsid:marinespecies.org:taxname:129282	urn:lsid:marinespecies.org:taxname:129282	urn:lsid:marinespecies.org:taxname:129280	urn:lsid:marinespecies.org:taxname:966	Nematonereis	Lysidice	Eunicidae	"Schmarda, L. K. (1861). Neue Wirbellose Thiere: Beobachted und Gesammelt auf einer Reise um die Erdr 1853 bis 1857. <em>In Turbellarien, Rotatorien und Anneliden. Leipzig, Verlag von Wilhelm Engelmann.</em> Erster Band, Zweite Hälfte."	1861	Animalia	Annelida	Polychaeta	Eunicida	Eunicidae	Nematonereis	NA	NA	NA	Genus	"Schmarda, 1861"	unaccepted	8/21/20	"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Nematonereis Schmarda, 1861. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129282"	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129282	NCBI:txid188457	To Genbank	ncbi	129280	966	NA	NCBI:txid104737	NCBI:txid188454
