Scientific.Name	row_ids
RETUSA ALBA	R06635
RISSONIA	R14519
SCALLOP	R18630
SCOLOPLOS ARMIGER ARMIGER	R06739
SEA PENS	R13501
SEBASTES CROCOTULUS	R07910;R08411
SELACHIMORPHA	R00106
SEMELIA	R06755
SHELL DEBRIS	R18649
SHRIMP	R19197
SPATULA CYANOPTERA	R17157
SPINY HERMIT CRAB	R19249
SPIRONTOCARIS AFFINIS	R16268
SQUID	R18983
SQUID LARVAE	R09000
STOCKY COPEPOD	R18899
STREPTOCEPHALUS SEALLI	R13284
STYLOCHUS CALIFORNIENSIS	R13889
SYLLIS NIPPONICA	R06959
TANYPTERA	R01482
TANYPUS NEOPUNCTIPENNIS	R06989
TANYPUS STELLATUS	R06990
TAPES AUREA	R06994
TELLINA FABULOIDES	R07005
TELLINA MERUS	R07009
TEUTHOIDEA	R09648
THAMNOPHIS ELEGANS	R13670
THAMNOPHIS ORDINOIDES	R13345
THRACIA SUCIENSIS	R14081
TOMOPTERIS ELEGANS	R00604
TRICERATONEMA MICROLOBATUM	R14037
TUNICATE	R18340
TUNICATE -SOLITARY	R18666
UNIDENTIFIED CALANID	R11919
UNIDENTIFIED FISH	R19130
UNIDENTIFIED TAXON	R13383
UNKNOWN	R08190
UNKNOWN POACHER	R08239
UNSORTED LOT	R13384
URILE PENICILLATUS	R10143;R13528
VERTICAL RELIEF: SLIGHT	R18653
VESICOMYA EXTENTA	R14344
VESICOMYA KILMERI	R14346
VESICOMYA LEPTA	R14342
VESICOMYA PACKARDANA	R14347
VESICOMYA STEARNSII	R14343
YOY ROCKFISH	R09627;R18789
ZIPHIID	R00016
