row_id	Scientific.Name	Source
R000001	Ablennes hians	Walker_Miller_Lea_Combo_20210216
R000002	Abudefduf troschelii	Walker_Miller_Lea_Combo_20210216
R000003	Acanthocybium solandri	Walker_Miller_Lea_Combo_20210216
R000004	Acanthogobius flavimanus	Walker_Miller_Lea_Combo_20210216
R000005	Acantholiparis caecus	Walker_Miller_Lea_Combo_20210216
R000006	Acantholiparis opercularis	Walker_Miller_Lea_Combo_20210216
R000007	Acanthomus armatus	Walker_Miller_Lea_Combo_20210216
R000008	Acanthurus xanthopterus	Walker_Miller_Lea_Combo_20210216
R000009	Achirus mazatlanus	Walker_Miller_Lea_Combo_20210216
R000010	Acipenser medirostris	Walker_Miller_Lea_Combo_20210216
R000011	Acipenser transmontanus	Walker_Miller_Lea_Combo_20210216
R000012	Agonomalus mozinoi	Walker_Miller_Lea_Combo_20210216
R000013	Agonopsis sterletus	Walker_Miller_Lea_Combo_20210216
R000014	Agonopsis vulsa	Walker_Miller_Lea_Combo_20210216
R000015	Ahliesaurus brevis	Walker_Miller_Lea_Combo_20210216
R000016	Albatrossia pectoralis	Walker_Miller_Lea_Combo_20210216
R000017	Albula gilberti	Walker_Miller_Lea_Combo_20210216
R000018	Albula pacificus	Walker_Miller_Lea_Combo_20210216
R000019	Aldrovandia oleosa	Walker_Miller_Lea_Combo_20210216
R000020	Alepisaurus ferox	Walker_Miller_Lea_Combo_20210216
R000021	Alepocephalus tenebrosus	Walker_Miller_Lea_Combo_20210216
R000022	Alloclinus holderi	Walker_Miller_Lea_Combo_20210216
R000023	Allocyttus folletti	Walker_Miller_Lea_Combo_20210216
R000024	Allosmerus elongatus	Walker_Miller_Lea_Combo_20210216
R000025	Allothunnus fallai	Walker_Miller_Lea_Combo_20210216
R000026	Alopias pelagicus	Walker_Miller_Lea_Combo_20210216
R000027	Alopias superciliosus	Walker_Miller_Lea_Combo_20210216
R000028	Alopias vulpinus	Walker_Miller_Lea_Combo_20210216
R000029	Alosa sapidissima	Walker_Miller_Lea_Combo_20210216
R000030	Alphestes immaculatus	Walker_Miller_Lea_Combo_20210216
R000031	Amblyraja hyperborea	Walker_Miller_Lea_Combo_20210216
R000032	Ammodytes personatus	Walker_Miller_Lea_Combo_20210216
R000033	Amphistichus argenteus	Walker_Miller_Lea_Combo_20210216
R000034	Amphistichus koelzi	Walker_Miller_Lea_Combo_20210216
R000035	Amphistichus rhodoterus	Walker_Miller_Lea_Combo_20210216
R000036	Anarrhichthys ocellatus	Walker_Miller_Lea_Combo_20210216
R000037	Anchoa argentivittata	Walker_Miller_Lea_Combo_20210216
R000038	Anchoa compressa	Walker_Miller_Lea_Combo_20210216
R000039	Anchoa delicatissima	Walker_Miller_Lea_Combo_20210216
R000040	Anchoa exigua	Walker_Miller_Lea_Combo_20210216
R000041	Anisotremus davidsonii	Walker_Miller_Lea_Combo_20210216
R000042	Anisotremus interruptus	Walker_Miller_Lea_Combo_20210216
R000043	Anoplagonus inermis	Walker_Miller_Lea_Combo_20210216
R000044	Anoplarchus insignis	Walker_Miller_Lea_Combo_20210216
R000045	Anoplarchus purpurescens	Walker_Miller_Lea_Combo_20210216
R000046	Anoplogaster cornuta	Walker_Miller_Lea_Combo_20210216
R000047	Anoplopoma fimbria	Walker_Miller_Lea_Combo_20210216
R000048	Anotopterus nikparini	Walker_Miller_Lea_Combo_20210216
R000049	Anotopterus pharao	Walker_Miller_Lea_Combo_20210216
R000050	Antimora microlepis	Walker_Miller_Lea_Combo_20210216
R000051	Aphanopus arigato	Walker_Miller_Lea_Combo_20210216
R000052	Apodichthys flavidus	Walker_Miller_Lea_Combo_20210216
R000053	Apodichthys fucorum	Walker_Miller_Lea_Combo_20210216
R000054	Apogon atricaudus	Walker_Miller_Lea_Combo_20210216
R000055	Apogon guadalupensis	Walker_Miller_Lea_Combo_20210216
R000056	Apogon pacificus	Walker_Miller_Lea_Combo_20210216
R000057	Apogon retrosella	Walker_Miller_Lea_Combo_20210216
R000058	Apristurus brunneus	Walker_Miller_Lea_Combo_20210216
R000059	Apristurus kampae	Walker_Miller_Lea_Combo_20210216
R000060	Aptocyclus ventricosus	Walker_Miller_Lea_Combo_20210216
R000061	Arctozenus risso	Walker_Miller_Lea_Combo_20210216
R000062	Argentina sialis	Walker_Miller_Lea_Combo_20210216
R000063	Argyropelecus aculeatus	Walker_Miller_Lea_Combo_20210216
R000064	Argyropelecus affinis	Walker_Miller_Lea_Combo_20210216
R000065	Argyropelecus hemigymnus	Walker_Miller_Lea_Combo_20210216
R000066	Argyropelecus lychnus	Walker_Miller_Lea_Combo_20210216
R000067	Argyropelecus sladeni	Walker_Miller_Lea_Combo_20210216
R000068	Ariosoma gilberti	Walker_Miller_Lea_Combo_20210216
R000069	Aristostomias scintillans	Walker_Miller_Lea_Combo_20210216
R000070	Artedius corallinus	Walker_Miller_Lea_Combo_20210216
R000071	Artedius fenestralis	Walker_Miller_Lea_Combo_20210216
R000072	Artedius harringtoni	Walker_Miller_Lea_Combo_20210216
R000073	Artedius lateralis	Walker_Miller_Lea_Combo_20210216
R000074	Artedius notospilotus	Walker_Miller_Lea_Combo_20210216
R000075	Ascelichthys rhodorus	Walker_Miller_Lea_Combo_20210216
R000076	Asemichthys taylori	Walker_Miller_Lea_Combo_20210216
R000077	Assurger anzac	Walker_Miller_Lea_Combo_20210216
R000078	Astroscopus zephyreus	Walker_Miller_Lea_Combo_20210216
R000079	Atheresthes evermanni	Walker_Miller_Lea_Combo_20210216
R000080	Atheresthes stomias	Walker_Miller_Lea_Combo_20210216
R000081	Atherinops affinis	Walker_Miller_Lea_Combo_20210216
R000082	Atherinopsis californiensis	Walker_Miller_Lea_Combo_20210216
R000083	Atractoscion nobilis	Walker_Miller_Lea_Combo_20210216
R000084	Aulorhynchus flavidus	Walker_Miller_Lea_Combo_20210216
R000085	Auxis rochei	Walker_Miller_Lea_Combo_20210216
R000086	Auxis thazard	Walker_Miller_Lea_Combo_20210216
R000087	Avocettina bowersii	Walker_Miller_Lea_Combo_20210216
R000088	Avocettina infans	Walker_Miller_Lea_Combo_20210216
R000089	Azurina hirundo	Walker_Miller_Lea_Combo_20210216
R000090	Bagre panamensis	Walker_Miller_Lea_Combo_20210216
R000091	Bajacalifornia megalops	Walker_Miller_Lea_Combo_20210216
R000092	Bajacalifornia burragei	Walker_Miller_Lea_Combo_20210216
R000093	Balistes polylepis	Walker_Miller_Lea_Combo_20210216
R000094	Barathronus pacificus	Walker_Miller_Lea_Combo_20210216
R000095	Barbourisia rufa	Walker_Miller_Lea_Combo_20210216
R000096	Bassozetus levistomatus	Walker_Miller_Lea_Combo_20210216
R000097	Bassozetus nasus	Walker_Miller_Lea_Combo_20210216
R000098	Bassozetus zenkevitchi	Walker_Miller_Lea_Combo_20210216
R000099	Bathophilus brevis	Walker_Miller_Lea_Combo_20210216
R000100	Bathophilus filifer	Walker_Miller_Lea_Combo_20210216
R000101	Bathophilus flemingi	Walker_Miller_Lea_Combo_20210216
R000102	Bathyagonus alascanus	Walker_Miller_Lea_Combo_20210216
R000103	Bathyagonus infraspinatus	Walker_Miller_Lea_Combo_20210216
R000104	Bathyagonus nigripinnis	Walker_Miller_Lea_Combo_20210216
R000105	Bathyagonus pentacanthus	Walker_Miller_Lea_Combo_20210216
R000106	Bathygobius ramosus	Walker_Miller_Lea_Combo_20210216
R000107	Bathylaco nigricans	Walker_Miller_Lea_Combo_20210216
R000108	Bathylagoides nigrigenys	Walker_Miller_Lea_Combo_20210216
R000109	Bathylagoides wesethi	Walker_Miller_Lea_Combo_20210216
R000110	Bathylagus pacificus	Walker_Miller_Lea_Combo_20210216
R000111	Bathylychnops exilis	Walker_Miller_Lea_Combo_20210216
R000112	Bathymaster caeruleofasciatus	Walker_Miller_Lea_Combo_20210216
R000113	Bathymaster signatus	Walker_Miller_Lea_Combo_20210216
R000114	Bathyphasma ovigerum	Walker_Miller_Lea_Combo_20210216
R000115	Bathypterois atricolor	Walker_Miller_Lea_Combo_20210216
R000116	Bathyraja abyssicola	Walker_Miller_Lea_Combo_20210216
R000117	Bathyraja aleutica	Walker_Miller_Lea_Combo_20210216
R000118	Bathyraja interrupta	Walker_Miller_Lea_Combo_20210216
R000119	Bathyraja kincaidii	Walker_Miller_Lea_Combo_20210216
R000120	Bathyraja microtrachys	Walker_Miller_Lea_Combo_20210216
R000121	Bathyraja minispinosa	Walker_Miller_Lea_Combo_20210216
R000122	Bathyraja spinosissima	Walker_Miller_Lea_Combo_20210216
R000123	Bathyraja trachura	Walker_Miller_Lea_Combo_20210216
R000124	Bathysaurus mollis	Walker_Miller_Lea_Combo_20210216
R000125	Bathysphyraenops simplex	Walker_Miller_Lea_Combo_20210216
R000126	Bathytroctes macrolepis	Walker_Miller_Lea_Combo_20210216
R000127	Bellator gymnostethus	Walker_Miller_Lea_Combo_20210216
R000128	Bellator xenisma	Walker_Miller_Lea_Combo_20210216
R000129	Benthalbella dentata	Walker_Miller_Lea_Combo_20210216
R000130	Benthalbella linguidens	Walker_Miller_Lea_Combo_20210216
R000131	Benthodesmus pacificus	Walker_Miller_Lea_Combo_20210216
R000132	Benthosema panamense	Walker_Miller_Lea_Combo_20210216
R000133	Benthosema suborbitale	Walker_Miller_Lea_Combo_20210216
R000134	Beringraja binoculata	Walker_Miller_Lea_Combo_20210216
R000135	Beringraja inornate	Walker_Miller_Lea_Combo_20210216
R000136	Beringraja rhina	Walker_Miller_Lea_Combo_20210216
R000137	Beringraja stellulata	Walker_Miller_Lea_Combo_20210216
R000138	Bertella idiomorpha	Walker_Miller_Lea_Combo_20210216
R000139	Blepsias bilobus	Walker_Miller_Lea_Combo_20210216
R000140	Blepsias cirrhosus	Walker_Miller_Lea_Combo_20210216
R000141	Bodianus diplotaenia	Walker_Miller_Lea_Combo_20210216
