taxonID	identifier	title	format	datasetID	subject
urn:lsid:marinespecies.org:taxname:189	NCBI:txid71481	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:190	NCBI:txid71483	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:191	NCBI:txid929463	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:192	NCBI:txid195871	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:193	NCBI:txid2692184	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:194	NCBI:txid2692185	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:198	NCBI:txid69683	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:200	NCBI:txid32585	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:202	NCBI:txid39426	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:203	NCBI:txid856330	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:204	NCBI:txid47127	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:205	NCBI:txid61335	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:206	NCBI:txid6545	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:208	NCBI:txid6553	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:209	NCBI:txid52935	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:210	NCBI:txid6546	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:211	NCBI:txid6547	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:213	NCBI:txid6566	To GenBank (1 nucleotides; 1 proteins)		ncbi	
urn:lsid:marinespecies.org:taxname:214	NCBI:txid102289	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:215	NCBI:txid6563	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:217	NCBI:txid6580	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:218	NCBI:txid42655	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:219	NCBI:txid183496	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:220	NCBI:txid186446	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:222	NCBI:txid41671	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:224	NCBI:txid41671	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:226	NCBI:txid52932	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:228	NCBI:txid278202	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:229	NCBI:txid55708	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:230	NCBI:txid6581	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:232	NCBI:txid282294	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:233	NCBI:txid6585	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:235	NCBI:txid52798	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:236	NCBI:txid40128	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:237	NCBI:txid61354	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:241	NCBI:txid59237	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:243	NCBI:txid6592	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:245	NCBI:txid278205	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:247	NCBI:txid6602	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:248	NCBI:txid52623	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:250	NCBI:txid114949	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:251	NCBI:txid61359	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:252	NCBI:txid52914	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:253	NCBI:txid114952	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:254	NCBI:txid65386	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:256	NCBI:txid228488	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:411	NCBI:txid47122	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:412	NCBI:txid52919	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:413	NCBI:txid1077248	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:415	NCBI:txid358446	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:418	NCBI:txid291850	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:432	NCBI:txid32586	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:435	NCBI:txid39429	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:443	NCBI:txid6466	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:447	NCBI:txid6527	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:503	NCBI:txid63671	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:558	NCBI:txid6040	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:559	NCBI:txid27929	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:793	NCBI:txid6157	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:794	NCBI:txid166384	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:798	NCBI:txid37945	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:799	NCBI:txid6231	To GenBank (2 nucleotides; 0 proteins)		ncbi	
urn:lsid:marinespecies.org:taxname:801	NCBI:txid3041	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:802	NCBI:txid3166	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:803	NCBI:txid31306	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:808	NCBI:txid33104	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:813	NCBI:txid3183	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:820	NCBI:txid135250	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:824	NCBI:txid31306	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:827	NCBI:txid3113	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:829	NCBI:txid2870	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:830	NCBI:txid2870	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:839	NCBI:txid2873	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:842	NCBI:txid2877	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:844	NCBI:txid3009	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:845	NCBI:txid2886	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:852	NCBI:txid2763	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:857	NCBI:txid29216	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:860	NCBI:txid2802	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:871	NCBI:txid28017	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:876	NCBI:txid31468	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:878	NCBI:txid2819	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:882	NCBI:txid6340	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:883	NCBI:txid6341	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:884	NCBI:txid46603	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:885	NCBI:txid46590	To Genbank		ncbi	
