129035	129035
36217	36217
13323	13323
86203	86203
557403	557403
1843782	1843782
75014	75014
7908	7908
7904	7904
740689	740689
428027	428027
83392	83392
1036540	1036540
1038686	1038686
1675535	1675535
88653	88653
170189	170189
314245	314245
319752	319752
433393	433393
320457	320457
57979	57979
57980	57980
7852	7852
34773	34773
160542	160542
315322	315322
215382	215382
100186	100186
1045555	1045555
72546	72546
433405	433405
307589	307589
332922	332922
314002	314002
531320	531320
1154603	1154603
1225888	1225888
320623	320623
88656	88656
229290	229290
557333	557333
172142	172142
497157	497157
1154592	1154592
57779	57779
57780	57780
2499414	2499414
875792	875792
875793	875793
1431508	1431508
428037	428037
263691	263691
181459	181459
473348	473348
260512	260512
260512	1311414
81868	81868
81869	81869
68504	68504
875771	875771
81870	81870
319440	319440
283624	283624
274758	274758
433399	433399
322683	322683
305505	305505
1738886	1738886
1638735	1638735
320586	320586
195645	195645
428034	428034
238741	238741
1311532	1311532
259703	259703
240152	240152
217026	217026
217026	349649
13353	13353
13353	1780175
2048720	2048720
121280	121280
196127	196127
243721	243721
740690	740690
492034	492034
303686	303686
2590964	2590964
88660	88660
181397	181397
1074457	1074457
319449	319449
433408	433408
557335	557335
433409	433409
433407	433407
863441	863441
466962	466962
875769	875769
557336	557336
473350	473350
1188226	1188226
274808	274808
1206983	1206983
341242	341242
341243	341243
341244	341244
1154593	1154593
341248	341248
2169489	2169489
341251	341251
1126214	1126214
492030	492030
1897793	1897793
875785	875785
433385	433385
1154594	1154594
1738883	1738883
1197456	1197456
123335	123335
242940	242940
980325	980325
573213	573213
1182146	1182146
241346	241346
123245	123245
740691	740691
1154617	1154617
557338	557338
390675	390675
2048771	2048771
314000	314000
100188	100188
215352	215352
490248	490248
334377	334377
2725362	2725362
1311538	1311538
320621	320621
173313	173313
173306	173306
173346	173346
173314	173314
303933	303933
671158	671158
202609	202609
671159	671159
46612	46612
302049	302049
7807	7807
13397	13397
2710875	2710875
796014	796014
433400	433400
1154595	1154595
274785	274785
740692	740692
181404	181404
319436	319436
319437	319437
717990	717990
181422	181422
2546099	2546099
271503	271503
123342	123342
862823	862823
160733	160733
740693	740693
206108	206108
875772	875772
714659	714659
57982	57982
88671	88671
443685	443685
740694	740694
412639	412639
302054	302054
603439	603439
29144	29144
302055	302055
68509	68509
1197887	1197887
938382	938382
546515	546515
307590	307590
307590	291359
307590	938383
320392	320392
2048773	2048773
740928	740928
1154619	1154619
2048724	2048724
274688	274688
388628	388628
320615	320615
433395	433395
283635	283635
27585	27585
173338	173338
320383	320383
231457	231457
319774	319774
319775	319775
195600	195600
185732	185732
255560	255560
459045	459045
304258	304258
459046	459046
459047	459047
283633	283633
30724	30724
30724	476916
319433	319433
129043	129043
1126216	1126216
1010703	1010703
8130	8130
642431	642431
13454	13454
34814	34814
83390	83390
2048726	2048726
76798	76798
83391	83391
216980	216980
216981	216981
83387	83387
1972140	1972140
214914	214914
214916	214916
557343	557343
433379	433379
412659	412659
314006	314006
319749	319749
1003719	1003719
316137	316137
48441	48441
48443	48443
48444	48444
48447	48447
48449	48449
48451	48451
48453	48453
556252	556252
50794	50794
320393	320393
666531	666531
875787	875787
274783	274783
492021	492021
875773	875773
2587260	2587260
160710	160710
320418	320418
1074458	1074458
91653	91653
2048735	2048735
223143	223143
229062	229062
223145	223145
123333	123333
880958	880958
875774	875774
91975	91975
372796	372796
1415272	1415272
88682	88682
114854	114854
700631	700631
1311437	1311437
2696596	2696596
308079	308079
224713	224713
2578276	2578276
173247	173247
7834	7834
446812	446812
473311	473311
182427	182427
320376	320376
100194	100194
100190	100190
229144	229144
239368	239368
2048782	2048782
879482	879482
879484	879484
320617	320617
980327	980327
740695	740695
245074	245074
195609	195609
160714	160714
160722	160722
418109	418109
7765	7765
270543	270543
320406	320406
1775713	1775713
253860	253860
1147041	1147041
224716	224716
320605	320605
689953	689953
1581699	1581699
1868326	1868326
1311546	1311546
166745	166745
293913	293913
433392	433392
305515	305515
55117	55117
565079	565079
8227	8227
507566	507566
2488690	2488690
