Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	modified	bibliographicCitation	references	identifier	title	datasetID.y	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI	subtree_identifier_taxIDs	subtree_accepted_taxIDs	linear_noClaim_verified_directHits	circular_complete_verified_directHits	linear_noClaim_unverified_directHits	linear_complete_verified_directHits	circular_noClaim_unverified_directHits	circular_noClaim_verified_directHits	circular_claimComplete_verified_directHits	linear_claimComplete_verified_directHits	circular_complete_unverified_directHits	linear_complete_unverified_directHits	linear_noClaim_verified_subTreeHits	circular_complete_verified_subTreeHits	linear_noClaim_unverified_subTreeHits	linear_complete_verified_subTreeHits	circular_noClaim_unverified_subTreeHits	circular_noClaim_verified_subTreeHits	circular_claimComplete_verified_subTreeHits	linear_claimComplete_verified_subTreeHits	circular_complete_unverified_subTreeHits	linear_complete_unverified_subTreeHits	high_potential_sra_directHits	high_potential_sra_subTreeHits	other_potential_sra_directHits	other_potential_sra_subTreeHits	NCBI_identifier_kingdom	NCBI_identifier_phylum	NCBI_identifier_class	NCBI_identifier_order	NCBI_identifier_family	NCBI_identifier_genus	NCBI_identifier_species	NCBI_accepted_kingdom	NCBI_accepted_phylum	NCBI_accepted_class	NCBI_accepted_order	NCBI_accepted_family	NCBI_accepted_genus	NCBI_accepted_species
AMPHARETINAE	R00763	152252	urn:lsid:marinespecies.org:taxname:152252	urn:lsid:marinespecies.org:taxname:152252	urn:lsid:marinespecies.org:taxname:152252	urn:lsid:marinespecies.org:taxname:981	Ampharetinae	Ampharetinae	Ampharetidae	NA	NA	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	NA	NA	NA	NA	Subfamily	Malmgren, 1866	accepted	2014-05-23	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ampharetinae Malmgren, 1866. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=152252	https://www.marinespecies.org/aphia.php?p=taxdetails&id=152252	NA	NA	NA	152252	981	NA	NCBI:txid6374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASTRONESTHINAE	R07534	154228	urn:lsid:marinespecies.org:taxname:154228	urn:lsid:marinespecies.org:taxname:154228	urn:lsid:marinespecies.org:taxname:154228	urn:lsid:marinespecies.org:taxname:125604	Astronesthinae	Astronesthinae	Stomiidae	NA	NA	Animalia	Chordata	Teleostei	Stomiiformes	Stomiidae	NA	NA	NA	NA	Subfamily	Günther, 1864	accepted	2015-04-17	Froese, R. and D. Pauly. Editors. (2024). FishBase. Astronesthinae Günther, 1864. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154228	https://www.marinespecies.org/aphia.php?p=taxdetails&id=154228	NCBI:txid473356	To Genbank	ncbi	154228	125604	NA	NCBI:txid123351	NCBI:txid473356	NCBI:txid473353;NCBI:txid473354;NCBI:txid473356;NCBI:txid700624;NCBI:txid700625;NCBI:txid700626;NCBI:txid740691;NCBI:txid882836;NCBI:txid882837;NCBI:txid882843;NCBI:txid882844;NCBI:txid882882;NCBI:txid882883;NCBI:txid885017;NCBI:txid1127486;NCBI:txid1263173;NCBI:txid1367085;NCBI:txid1415271;NCBI:txid1559352;NCBI:txid1604548;NCBI:txid1604550;NCBI:txid1604551;NCBI:txid1738802;NCBI:txid1738803;NCBI:txid1738804;NCBI:txid1738805;NCBI:txid1738806;NCBI:txid1738808;NCBI:txid1738810;NCBI:txid1738829;NCBI:txid1738831;NCBI:txid1738839;NCBI:txid1738848;NCBI:txid1738850;NCBI:txid1738854;NCBI:txid1814121;NCBI:txid1963607;NCBI:txid2036875;NCBI:txid2507751;NCBI:txid2578247;NCBI:txid2578248;NCBI:txid2578738;NCBI:txid2578739;NCBI:txid2578740;NCBI:txid2578741;NCBI:txid2578742;NCBI:txid2578743;NCBI:txid2608413;NCBI:txid2618067;NCBI:txid2626806;NCBI:txid2696580;NCBI:txid2696620;NCBI:txid2726802;NCBI:txid2835824;NCBI:txid2890356;NCBI:txid2890371;NCBI:txid2969118;NCBI:txid2996717;NCBI:txid3043622;NCBI:txid3148947	NCBI:txid473353;NCBI:txid473354;NCBI:txid473356;NCBI:txid700624;NCBI:txid700625;NCBI:txid700626;NCBI:txid740691;NCBI:txid882836;NCBI:txid882837;NCBI:txid882843;NCBI:txid882844;NCBI:txid882882;NCBI:txid882883;NCBI:txid885017;NCBI:txid1127486;NCBI:txid1263173;NCBI:txid1367085;NCBI:txid1415271;NCBI:txid1559352;NCBI:txid1604548;NCBI:txid1604550;NCBI:txid1604551;NCBI:txid1738802;NCBI:txid1738803;NCBI:txid1738804;NCBI:txid1738805;NCBI:txid1738806;NCBI:txid1738808;NCBI:txid1738810;NCBI:txid1738829;NCBI:txid1738831;NCBI:txid1738839;NCBI:txid1738848;NCBI:txid1738850;NCBI:txid1738854;NCBI:txid1814121;NCBI:txid1963607;NCBI:txid2036875;NCBI:txid2507751;NCBI:txid2578247;NCBI:txid2578248;NCBI:txid2578738;NCBI:txid2578739;NCBI:txid2578740;NCBI:txid2578741;NCBI:txid2578742;NCBI:txid2578743;NCBI:txid2608413;NCBI:txid2618067;NCBI:txid2626806;NCBI:txid2696580;NCBI:txid2696620;NCBI:txid2726802;NCBI:txid2835824;NCBI:txid2890356;NCBI:txid2890371;NCBI:txid2969118;NCBI:txid2996717;NCBI:txid3043622;NCBI:txid3148947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eukaryota	Chordata	Actinopteri	Stomiiformes	Stomiidae	NA	NA	Eukaryota	Chordata	Actinopteri	Stomiiformes	Stomiidae	NA	NA
AUTOLYTINAE	R00933	152231	urn:lsid:marinespecies.org:taxname:152231	urn:lsid:marinespecies.org:taxname:152231	urn:lsid:marinespecies.org:taxname:152231	urn:lsid:marinespecies.org:taxname:948	Autolytinae	Autolytinae	Syllidae	Langerhans, Paul. (1879). Die Wurmfauna von Madeira [part I]. <em>Zeitschrift für wissenschaftliche Zoologie.</em> 32(4): 513-592, plates XXXI-XXXIII.	1879	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	NA	NA	NA	NA	Subfamily	Langerhans, 1879	accepted	2024-07-30	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Autolytinae Langerhans, 1879. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=152231	https://www.marinespecies.org/aphia.php?p=taxdetails&id=152231	NA	NA	NA	152231	948	NA	NCBI:txid122238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAPRELLINAE	R01072	430770	urn:lsid:marinespecies.org:taxname:430770	urn:lsid:marinespecies.org:taxname:430770	urn:lsid:marinespecies.org:taxname:430770	urn:lsid:marinespecies.org:taxname:101361	Caprellinae	Caprellinae	Caprellidae	NA	NA	Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	NA	NA	NA	NA	Subfamily	Leach, 1814	accepted	2019-09-26	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Caprellinae Leach, 1814. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=430770	https://www.marinespecies.org/aphia.php?p=taxdetails&id=430770	NA	NA	NA	430770	101361	NA	NCBI:txid244427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EUCLYMENINAE	R01416	152232	urn:lsid:marinespecies.org:taxname:152232	urn:lsid:marinespecies.org:taxname:152232	urn:lsid:marinespecies.org:taxname:152232	urn:lsid:marinespecies.org:taxname:923	Euclymeninae	Euclymeninae	Maldanidae	Arwidsson, Ivar. (1906). Studien über die skandinavischen und arktischen Maldaniden nebst Zusammenstellung der übrigen bisher bekannten Arten dieser Familie. <em>Inaugural-Dissertation zur erlangung der Doktorwürde. Der Mathematisch-Naturwissenschaftlichen Sektion der Philosophischen Fakultät zu Upsala, Upsala Universitet, Upsala [sic].</em> 1-308. Plates 1-12. [published 1906 or at latest 2 Feb 1907].	1906	Animalia	Annelida	Polychaeta	NA	Maldanidae	NA	NA	NA	NA	Subfamily	Arwidsson, 1906	accepted	2019-12-18	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Euclymeninae Arwidsson, 1906. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=152232	https://www.marinespecies.org/aphia.php?p=taxdetails&id=152232	NA	NA	NA	152232	923	NA	NCBI:txid61845	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EUSYLLINAE	R01454	152233	urn:lsid:marinespecies.org:taxname:152233	urn:lsid:marinespecies.org:taxname:152233	urn:lsid:marinespecies.org:taxname:152233	urn:lsid:marinespecies.org:taxname:948	Eusyllinae	Eusyllinae	Syllidae	NA	NA	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	NA	NA	NA	NA	Subfamily	Malaquin, 1893	accepted	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Eusyllinae Malaquin, 1893. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=152233	https://www.marinespecies.org/aphia.php?p=taxdetails&id=152233	NA	NA	NA	152233	948	NA	NCBI:txid122238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EXOGONINAE	R01465	152228	urn:lsid:marinespecies.org:taxname:152228	urn:lsid:marinespecies.org:taxname:152228	urn:lsid:marinespecies.org:taxname:152228	urn:lsid:marinespecies.org:taxname:948	Exogoninae	Exogoninae	Syllidae	NA	NA	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	NA	NA	NA	NA	Subfamily	Langerhans, 1879	accepted	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Exogoninae Langerhans, 1879. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=152228	https://www.marinespecies.org/aphia.php?p=taxdetails&id=152228	NA	NA	NA	152228	948	NA	NCBI:txid122238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HARPINIINAE	R01598	176844	urn:lsid:marinespecies.org:taxname:176844	urn:lsid:marinespecies.org:taxname:176844	urn:lsid:marinespecies.org:taxname:176844	urn:lsid:marinespecies.org:taxname:101403	Harpiniinae	Harpiniinae	Phoxocephalidae	Barnard, J. L.; Drummond, M. M. (1978). Gammaridean Amphipoda of Australia. Part III: The Phoxocephalidae. <em>Smithsonian Contributions to Zoology.</em> 245, 1-551; 269 figs.	1978	Animalia	Arthropoda	Malacostraca	Amphipoda	Phoxocephalidae	NA	NA	NA	NA	Subfamily	Barnard & Drummond, 1978	accepted	2020-06-10	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Harpiniinae Barnard & Drummond, 1978. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=176844	https://www.marinespecies.org/aphia.php?p=taxdetails&id=176844	NA	NA	NA	176844	101403	NA	NCBI:txid317541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HYALINAE	R01671	490602	urn:lsid:marinespecies.org:taxname:490602	urn:lsid:marinespecies.org:taxname:490602	urn:lsid:marinespecies.org:taxname:490602	urn:lsid:marinespecies.org:taxname:101385	Hyalinae	Hyalinae	Hyalidae	Bulyčeva, A. I. (1957). Morskie blokhi morej SSSR i sopredelnykh vod (Amphipoda - Talitroidea).[Beach-fleas of the seas of USSR and adjacent waters (Amphipoda - Talitroidea. <em>Akademija Nauk SSSR, Opredeliteli po Faune SSSR.</em> 65: 1-185.	1957	Animalia	Arthropoda	Malacostraca	Amphipoda	Hyalidae	NA	NA	NA	NA	Subfamily	Bulyčeva, 1957	accepted	2010-07-19	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Hyalinae Bulyceva, 1957. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=490602	https://www.marinespecies.org/aphia.php?p=taxdetails&id=490602	NA	NA	NA	490602	101385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEPIDONOTINAE	R01770	152403	urn:lsid:marinespecies.org:taxname:152403	urn:lsid:marinespecies.org:taxname:152403	urn:lsid:marinespecies.org:taxname:152403	urn:lsid:marinespecies.org:taxname:939	Lepidonotinae	Lepidonotinae	Polynoidae	Willey, A. (1902). XII. Polychaeta  In: Sharpe, B.; Bell, J. (eds). Report on the collections of natural history made in the Antarctic regions during the voyage of the "Southern Cross",. pp. 262-283, plates 241-246. British Museum, London.	1902	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	NA	NA	NA	NA	Subfamily	Willey, 1902	accepted	2018-01-24	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Lepidonotinae Willey, 1902. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=152403	https://www.marinespecies.org/aphia.php?p=taxdetails&id=152403	NA	NA	NA	152403	939	NA	NCBI:txid46593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
