	Dataset	level	iteration	Method	Parameters	match_ratio	overclassification_ratio	underclassification_ratio	misclassification_ratio	mismatch_level_list	Precision	Recall	F-measure
25	CRABS_ecoPCR	4	5	naive-bayes	0.001:[7,7]	0.14885245901639343	0.26688524590163937	0.4039344262295082	0.18032786885245902	[0, 8, 296, 587, 634, 0, 0, 0]	0.24972497249724973	0.14885245901639343	0.18652423993426456
26	CRABS_ecoPCR	4	6	naive-bayes	0.001:[7,7]	0.15979043876882776	0.3235101506221349	0.37328094302554027	0.14341846758349705	[0, 8, 226, 555, 738, 0, 0, 0]	0.2549634273772205	0.15979043876882776	0.1964573268921095
27	CRABS_ecoPCR	4	7	naive-bayes	0.001:[7,7]	0.14996725605762934	0.27635887360838246	0.3903077930582842	0.183366077275704	[0, 14, 297, 565, 651, 0, 0, 0]	0.24597207303974222	0.14996725605762934	0.18633034987794955
28	CRABS_ecoPCR	4	8	naive-bayes	0.001:[7,7]	0.14557377049180328	0.2754098360655738	0.42098360655737704	0.1580327868852459	[0, 20, 272, 591, 642, 0, 0, 0]	0.25141562853907135	0.14557377049180328	0.18438538205980068
29	CRABS_ecoPCR	4	9	naive-bayes	0.001:[7,7]	0.12844036697247707	0.3453473132372215	0.3859764089121887	0.1402359108781127	[0, 8, 226, 569, 723, 0, 0, 0]	0.20917822838847386	0.12844036697247707	0.15915550142103127
30	CRABS_MiFish	6	0	naive-bayes	0.001:[7,7]	0.21342646488164532	0.49088086922778423	0.1548311990686845	0.1408614668218859	[0, 0, 13, 73, 110, 566, 1815, 0]	0.25252525252525254	0.21342646488164532	0.23133543638275497
31	CRABS_MiFish	6	1	naive-bayes	0.001:[7,7]	0.196484375	0.534375	0.133203125	0.1359375	[0, 3, 12, 74, 97, 504, 1870, 0]	0.2266786840919333	0.196484375	0.2105042896003348
32	CRABS_MiFish	6	2	naive-bayes	0.001:[7,7]	0.19705768486256292	0.5176151761517616	0.14750290360046459	0.137824235385211	[0, 1, 14, 74, 103, 545, 1846, 0]	0.23115349682107175	0.19705768486256292	0.212748171368861
33	CRABS_MiFish	6	3	naive-bayes	0.001:[7,7]	0.21347876899104012	0.5044799376704324	0.14218932606155044	0.13985196727697702	[0, 1, 18, 72, 84, 549, 1843, 0]	0.2488646684831971	0.21347876899104012	0.2298175718179912
34	CRABS_MiFish	6	4	naive-bayes	0.001:[7,7]	0.20085139318885448	0.5255417956656346	0.14009287925696595	0.13351393188854488	[0, 0, 8, 75, 106, 518, 1877, 0]	0.23357335733573356	0.20085139318885448	0.215980024968789
