"MF490216.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Parthenopidae;Spinolambrus;NA"
"MH071201.1_representative_of_15_identical_accessions"	"NA;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;NA"
"LT745992.1_representative_of_19_identical_accessions"	"NA;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;NA"
"MK073050.1_representative_of_11_identical_accessions"	"NA;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;NA"
"MK586591.1_representative_of_6_identical_accessions"	"NA;Mollusca;Gastropoda;Neogastropoda;Terebridae;Pellifronia;NA"
"KX025284.1_representative_of_10_identical_accessions"	"NA;Chordata;Amphibia;Anura;Brachycephalidae;Brachycephalus;NA"
"MF325625.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Isopoda;Desmosomatidae;Chelator;NA"
"JQ716026.1_representative_of_3_identical_accessions"	"NA;Cnidaria;Hydrozoa;Leptothecata;Aequoreidae;Aequorea;NA"
"KX355422.1_representative_of_8_identical_accessions"	"NA;Cnidaria;Hydrozoa;Anthoathecata;Hydractiniidae;Podocoryna;NA"
"MK073073.1_representative_of_6_identical_accessions"	"NA;Cnidaria;Hydrozoa;Anthoathecata;Pennariidae;Pennaria;NA"
"OP196031.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Munididae;Torbenella;NA"
"KU578909.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Pseudothelphusidae;Raddaus;NA"
"KX507110.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Insecta;Hemiptera;Aphididae;NA;NA"
"OQ595406.1_representative_of_3_identical_accessions"	"NA;Chordata;Lepidosauria;Squamata;Pythonidae;NA;NA"
"JN700950.1_representative_of_2_identical_accessions"	"NA;Cnidaria;Hydrozoa;NA;NA;NA;NA"
"MG815925.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Arachnida;Araneae;Anyphaenidae;Oxysoma;NA"
"MT656070.1_representative_of_2_identical_accessions"	"NA;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;NA"
"KY807239.1_representative_of_2_identical_accessions"	"NA;Chordata;Actinopteri;Siluriformes;Trichomycteridae;Scleronema;NA"
"AB893775.1_representative_of_5_identical_accessions"	"NA;Mollusca;Gastropoda;Stylommatophora;Camaenidae;NA;NA"
"AB893734.1_representative_of_5_identical_accessions"	"NA;Mollusca;Gastropoda;Stylommatophora;Camaenidae;NA;NA"
"AY425232.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Hemiptera;Gerridae;Aquarius;NA"
"MK097412.1_representative_of_3_identical_accessions"	"NA;Mollusca;Polyplacophora;Chitonida;Chitonidae;Tonicia;NA"
"NC_067057.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Diptera;Syrphidae;NA;NA"
"NC_042910.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Diptera;Syrphidae;Eristalinus;NA"
"MT163108.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Diptera;Ceratopogonidae;Culicoides;NA"
"KJ595222.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
"MW014862.1_representative_of_8_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Sesarmidae;Sesarmops;NA"
